"","Trait1","Trait2","Trait3","Trait4","Trait5","Trait6","Trait7","Trait8","Trait9","Trait10","Trait11","Trait12","Trait13","Trait14","Trait15","Trait16","Trait17","Trait18","Trait19","Trait20","Trait21","Trait22","Trait23","Trait24","Trait25","Trait26","Trait27","Trait28","Trait29","Trait30","Trait31","Trait32","Trait33","Trait34","Trait35","Trait36","Trait37","Trait38","Trait39","Trait40","Trait41","Trait42","Trait43","Trait44","Trait45","Trait46","Trait47","Trait48","Trait49","Trait50"
"1",0.566696353722364,0.526527368463576,0.00888119474984705,0.8974039030727,0.901992331724614,0.593533964827657,0.299920856021345,0.08714001160115,0.723004419589415,0.416048198472708,0.206922645447776,0.71677962760441,0.926019167061895,0.950153318233788,0.522681010654196,0.746559832245111,0.587867702590302,0.582475677831098,0.769317224854603,0.837971818633378,0.571020072791725,0.0578361928928643,0.955014401581138,0.580911478027701,0.606233978644013,0.195260606473312,0.495706173824146,0.835721037117764,0.143592997686937,0.437614639289677,0.459633101476356,0.150926504516974,0.276632109191269,0.729574864497408,0.274104573996738,0.363561726175249,0.853306079749018,0.803237751824781,0.46085983607918,0.491478767013177,0.0984484918881208,0.13783159176819,0.362643767148256,0.43061465350911,0.229048040928319,0.0853148605674505,0.179843639256433,0.251089547760785,0.441220448585227,0.859995454316959
"2",0.598555400967598,0.963493026094511,0.131427647313103,0.223630340304226,0.0788469179533422,0.539443088462576,0.589124265126884,0.48809638665989,0.0649669608101249,0.508156778290868,0.448438900290057,0.814678215421736,0.758497011614963,0.90285869454965,0.893083113944158,0.785489623667672,0.17439974960871,0.941172133432701,0.341953988419846,0.31914081168361,0.28710984508507,0.925510064698756,0.983072412200272,0.50078295962885,0.407011131756008,0.918317078612745,0.41710663610138,0.172512172954157,0.676300862338394,0.832420359132811,0.556930960388854,0.0331948548555374,0.577357396483421,0.124340411508456,0.679848468862474,0.0228641477879137,0.0306398631073534,0.347315118415281,0.0547480783425272,0.952565751038492,0.118316281586885,0.404468424618244,0.937304288847372,0.886949722887948,0.195899901213124,0.867277787532657,0.995640855748206,0.484667165437713,0.626459008082747,0.00709330849349499
"3",0.298480458324775,0.791664688382298,0.825727358227596,0.0321042796131223,0.154604779789224,0.623431446729228,0.33080572122708,0.587542200228199,0.515507984207943,0.208921435987577,0.176476770313457,0.474291816819459,0.653397069778293,0.110968048218638,0.608536918181926,0.466528817079961,0.333057060837746,0.962693598354235,0.750595081597567,0.821716528851539,0.717127559706569,0.336202154867351,0.122369777876884,0.799432523781434,0.447889018571004,0.808240682817996,0.25907318177633,0.431218627840281,0.0700171340722591,0.802400501444936,0.748576753307134,0.220698237186298,0.785463510314003,0.581655879737809,0.416807836387306,0.378087619086727,0.586002701194957,0.694571782834828,0.543448165757582,0.40635971724987,0.359769475646317,0.973236532649025,0.430762365227565,0.356671989895403,0.683440362336114,0.341542803216726,0.920841768849641,0.891836042283103,0.530713598243892,0.536108068889007
"4",0.64463597885333,0.0652421156410128,0.157361488090828,0.209537350339815,0.793695943430066,0.120739732636139,0.0728442200925201,0.168867672327906,0.363133457722142,0.0667964445892721,0.0454980379436165,0.805294670397416,0.601427691755816,0.256713618524373,0.698052152059972,0.232501497492194,0.620184244820848,0.436367929214612,0.754199252463877,0.917291205842048,0.719613192835823,0.44631967949681,0.439650475746021,0.964727030834183,0.52169875963591,0.119357504183426,0.260006872238591,0.306118071777746,0.828744880855083,0.790951814036816,0.165058688260615,0.988820239203051,0.936665208078921,0.194412461714819,0.705446308245882,0.321862326003611,0.502853062935174,0.0970700746402144,0.866070812335238,0.301822985056788,0.645988147938624,0.287434484809637,0.216037933481857,0.485160999931395,0.783860894385725,0.961427318397909,0.773063116008416,0.724232742330059,0.468690037028864,0.857356236316264
"5",0.399193630088121,0.718859481159598,0.764330358477309,0.297605058643967,0.585312301293015,0.216353351715952,0.252157663926482,0.681671319063753,0.980522369965911,0.831682710442692,0.709169099805877,0.0686450125649571,0.904738802928478,0.101042847847566,0.745742498198524,0.168852746486664,0.342314651701599,0.206286573084071,0.814342489698902,0.419276061933488,0.473215272882953,0.198261584388092,0.242063409183174,0.881883156951517,0.982835741713643,0.777317488566041,0.198961212066934,0.278811747208238,0.342273100279272,0.231939005665481,0.855925780953839,0.291532409144565,0.714762930758297,0.903406481724232,0.518722419859841,0.994401118019596,0.537500728620216,0.430548176402226,0.227647149469703,0.771270557539538,0.904723100131378,0.679532499983907,0.843019471969455,0.727462654234841,0.676883133593947,0.127921756356955,0.95145736518316,0.142284007044509,0.00890856515616179,0.67952053504996
"6",0.947558909654617,0.259187324671075,0.786861265311018,0.571300752926618,0.639397435355932,0.220977681456134,0.33784054662101,0.386731035308912,0.305331535171717,0.384077942697331,0.440367585048079,0.420723815215752,0.0983746636193246,0.925064828945324,0.0613565442617983,0.308811758644879,0.926829261006787,0.884885790757835,0.0345491988118738,0.523384834406897,0.744498916901648,0.120963989058509,0.487776266178116,0.786408629268408,0.290466555627063,0.0148139505181462,0.376975090242922,0.0937751149758697,0.646424928447232,0.315794200170785,0.485055540688336,0.792218529153615,0.923599001718685,0.164330909028649,0.906898939982057,0.912365372525528,0.182827506912872,0.10840420005843,0.845388371031731,0.63681327784434,0.444415226113051,0.185673548374325,0.279986220411956,0.520436260383576,0.651751161087304,0.708413889398798,0.25560068548657,0.481635678559542,0.512826051563025,0.151609386317432
"7",0.589738799957559,0.186696304008365,0.121245409594849,0.143533883849159,0.714085027342662,0.518465890549123,0.752635543234646,0.674974429886788,0.559391153277829,0.453111184993759,0.109563717618585,0.577133072307333,0.457907206378877,0.121779762906954,0.789499892387539,0.112951422343031,0.715256105409935,0.290560923982412,0.985490748193115,0.211681704036891,0.583986193872988,0.165985102998093,0.588215471012518,0.0849473576527089,0.729088551132008,0.700896405149251,0.896534191444516,0.697061161743477,0.45217604120262,0.517619383754209,0.808871887158602,0.315153188770637,0.835045499028638,0.685922878561541,0.193390859756619,0.902774584246799,0.581638074712828,0.296501229749992,0.712196867913008,0.592428016941994,0.536567969946191,0.422930148430169,0.524804344167933,0.706369832158089,0.325429481221363,0.43825144530274,0.598872488830239,0.476162880659103,0.918593442998827,0.845923522021621
"8",0.841869827359915,0.0907441454473883,0.825407264288515,0.46340664755553,0.655422772513703,0.247502092039213,0.690025189425796,0.494674337329343,0.803417019778863,0.228978961706161,0.281638404820114,0.344900339609012,0.988383816787973,0.402922057779506,0.995368351228535,0.299692303873599,0.151419599307701,0.101768997032195,0.16866779467091,0.0737942850682884,0.434722174890339,0.193139735842124,0.545981479575858,0.175502482568845,0.375379978911951,0.98156502796337,0.981991520849988,0.566436554770917,0.630391258513555,0.0550530336331576,0.713979484280571,0.176946864463389,0.0957612653728575,0.0214628856629133,0.021839324850589,0.473199629923329,0.452429043361917,0.98888841457665,0.0760662180837244,0.536894110729918,0.952113785548136,0.683303261408582,0.569499863311648,0.513984410790727,0.491228934144601,0.782910864101723,0.905140684451908,0.565083721652627,0.16399553604424,0.561590651283041
"9",0.762952650664374,0.728767434135079,0.198862337041646,0.00964385247789323,0.426775151398033,0.0451119656208903,0.426759691443294,0.330405268119648,0.619871594710276,0.725715349661186,0.704901245655492,0.749537541996688,0.462553156539798,0.290612822398543,0.0378885807003826,0.108502985909581,0.992841222556308,0.977358427131549,0.501196240773425,0.319976718863472,0.767734475899488,0.668745552422479,0.609655715757981,0.783766291337088,0.245854263193905,0.493788318010047,0.146729213185608,0.0395258073695004,0.0399015941657126,0.209403844084591,0.58733519888483,0.545657992595807,0.437436558539048,0.154144388390705,0.341170008527115,0.251065623480827,0.121218373766169,0.111665837932378,0.611393033992499,0.927392920712009,0.294676448218524,0.190837228903547,0.271091438829899,0.701700155157596,0.442219637567177,0.637264466378838,0.668421441456303,0.49226644472219,0.0355707791168243,0.508244464173913
"10",0.739280680660158,0.494455367792398,0.307474482804537,0.0380590062122792,0.28809655783698,0.654145736945793,0.463075062492862,0.08316032984294,0.910471294075251,0.16963821160607,0.0176687967032194,0.594146275427192,0.132255017291754,0.966670659603551,0.975118043832481,0.94111201656051,0.758323505520821,0.716715697199106,0.987038961611688,0.902952566975728,0.218616320984438,0.960481455083936,0.551273142918944,0.0514985958579928,0.730346017284319,0.777494418434799,0.575103069655597,0.618444526335225,0.288170987740159,0.582981991814449,0.56941876350902,0.405122300377116,0.938017203705385,0.307069919770584,0.385201743338257,0.348959089722484,0.813454512506723,0.696714462246746,0.749483462655917,0.490274323383346,0.322574774269015,0.468328179093078,0.87606358458288,0.975224983412772,0.48874954902567,0.569439923390746,0.516857348848134,0.888474332401529,0.0585948971565813,0.364361173240468
